schoolID,rms,win,openWin,opSpFan,pOpSpFan,nOpSpFan,opExFan,pOpExFan,nOpExFan,opVent,pOpVent,nOpVent
Q146,66,56,54,2,0,0,40,0,10,43,2,1
M895,43,23,23,42,0,0,19,0,0,0,0,0
K009,134,93,92,1,0,21,61,5,66,0,0,4
X137,126,50,49,103,1,5,15,1,100,0,0,0
M076,59,55,55,0,0,0,24,0,25,0,0,0
Q138,113,94,94,24,0,6,71,0,40,20,0,17
K228,103,102,98,4,0,5,3,0,31,0,0,21
K256,81,76,75,3,0,1,68,0,0,0,0,0
Q087,69,63,56,8,4,0,37,0,14,0,0,0
Q234,116,56,54,69,0,17,65,3,44,0,0,0
Q023,30,29,29,0,0,0,8,0,1,0,0,0
X362,152,111,111,94,9,23,75,41,29,0,0,0
X074,187,102,101,63,2,5,106,2,62,2,0,4
X169,70,42,42,36,0,7,6,1,80,0,0,0
K525,207,143,117,49,0,5,157,5,20,0,0,0
Q036,53,51,50,25,0,6,10,0,18,0,0,0
R026,35,32,28,6,0,0,5,0,0,0,0,0
K240,104,100,100,68,0,1,28,1,4,0,0,0
R061,132,95,94,9,0,0,92,0,18,0,0,0
M812,41,23,22,34,0,0,23,0,2,0,0,0
X080,138,132,130,30,3,0,51,4,33,2,0,60
R058,124,113,110,78,0,1,119,0,1,0,0,0
K320,156,116,114,13,0,1,37,6,74,0,0,0
M276,103,70,70,80,1,4,29,5,75,2,0,0
X108,42,42,42,1,0,0,11,0,0,23,0,1
R861,112,70,64,67,2,0,109,0,0,0,0,0
Q158,126,103,103,6,0,1,80,11,7,0,0,1
Q254,98,68,61,51,0,21,53,0,44,0,0,0
K203,85,85,85,5,0,0,50,1,13,52,0,0
M158,107,95,95,1,1,65,49,2,50,0,0,0
Q104,73,66,66,5,0,0,56,0,2,40,0,0
K148,85,76,75,1,0,0,38,0,15,0,0,0
K032,70,70,64,40,0,0,50,5,0,0,0,0
Q777,41,35,34,3,0,0,17,0,8,0,0,0
K625,173,105,105,0,0,133,0,0,165,0,0,0
K914,106,59,59,67,0,18,2,1,89,0,0,0
Q053,153,105,101,22,0,4,111,2,20,2,0,0
K164,86,85,84,0,0,0,6,0,2,0,0,0
Q106,29,31,29,0,0,0,20,0,0,12,0,0
X127,109,108,107,5,0,2,40,0,45,0,0,0
X018,75,60,59,47,0,1,48,0,4,0,0,0
Q038,36,39,34,32,0,0,34,0,0,16,1,2
M028,104,80,80,3,0,1,56,0,22,0,0,0
R829,58,42,41,35,5,0,32,2,22,0,0,0
K184,63,73,73,7,43,5,43,4,5,0,0,0
Q089,149,108,101,5,0,33,37,9,50,0,0,0
